item,year,gsdp,state
"Real estate, ownership of dwelling & professional services",2015-16,50432,Andhra_Pradesh
Public administration,2011-12,135418,Andhra_Pradesh
Public administration,2012-13,149466,Andhra_Pradesh
Public administration,2013-14,183105,Andhra_Pradesh
Public administration,2014-15,243867,Andhra_Pradesh
Public administration,2015-16,265622,Andhra_Pradesh
Other services,2011-12,142509,Andhra_Pradesh
Other services,2012-13,167431,Andhra_Pradesh
Other services,2013-14,189928,Andhra_Pradesh
Other services,2014-15,218728,Andhra_Pradesh
Other services,2015-16,257504,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,2848113,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,3391548,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,3692959,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,3855548,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,4343564,Andhra_Pradesh
Crops,2011-12,2061487,Andhra_Pradesh
Crops,2012-13,2496905,Andhra_Pradesh
Crops,2013-14,2720261,Andhra_Pradesh
Crops,2014-15,2890544,Andhra_Pradesh
Crops,2015-16,3310990,Andhra_Pradesh
Livestock,2011-12,159289,Andhra_Pradesh
Livestock,2012-13,179160,Andhra_Pradesh
Livestock,2013-14,155267,Andhra_Pradesh
Livestock,2014-15,173478,Andhra_Pradesh
Livestock,2015-16,175526,Andhra_Pradesh
Forestry and logging,2011-12,231388,Andhra_Pradesh
Forestry and logging,2012-13,246368,Andhra_Pradesh
Forestry and logging,2013-14,311458,Andhra_Pradesh
Forestry and logging,2014-15,261987,Andhra_Pradesh
Forestry and logging,2015-16,278521,Andhra_Pradesh
Fishing and aquaculture,2011-12,395949,Andhra_Pradesh
Fishing and aquaculture,2012-13,469115,Andhra_Pradesh
Fishing and aquaculture,2013-14,505973,Andhra_Pradesh
Fishing and aquaculture,2014-15,529539,Andhra_Pradesh
Fishing and aquaculture,2015-16,578527,Andhra_Pradesh
Mining and quarrying,2011-12,1464989,Andhra_Pradesh
Mining and quarrying,2012-13,1448306,Andhra_Pradesh
Mining and quarrying,2013-14,1423477,Andhra_Pradesh
Mining and quarrying,2014-15,1471149,Andhra_Pradesh
Mining and quarrying,2015-16,1493456,Andhra_Pradesh
Manufacturing,2011-12,1540255,Andhra_Pradesh
Manufacturing,2012-13,1531538,Andhra_Pradesh
Manufacturing,2013-14,1904299,Andhra_Pradesh
Manufacturing,2014-15,2002936,Andhra_Pradesh
Manufacturing,2015-16,2055341,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,191883,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,210901,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,257083,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,296587,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,372236,Andhra_Pradesh
Construction,2011-12,1188747,Andhra_Pradesh
Construction,2012-13,1270304,Andhra_Pradesh
Construction,2013-14,1537481,Andhra_Pradesh
Construction,2014-15,1733568,Andhra_Pradesh
Construction,2015-16,2093594,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,2045676,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,2284041,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,2573962,Andhra_Pradesh
